SMILES,cat_1_id,cat_2_id
CC(C)C1Cc2c(CO1)sc1c2c(=O)n(CCc2ccccc2)c2nnc(SCC(=O)Nc3ccccn3)n12,13583,13583
COc1ccc(NC(=O)CSc2nc3nc4CCOCc4cc3c(=O)n2-c2cccc(C)c2)cc1,13585,13585
CCOC(=O)CSc1nnc2n(-c3ccc(OC)cc3)c(=O)c3c4CC(OCc4sc3n12)C(C)C,13587,13587
CCOC(=O)c1c(NC(=O)Nc2ccc(C)cc2)sc2COC(Cc12)C(C)C,13589,13589
CCCSc1nnc2n(Cc3ccccc3)c(=O)c3c4CCC(C)Cc4sc3n12,13591,13591
CC(=C)CSc1nc2sc3COC(C)(C)Cc3c2c(=O)n1-c1cccc(Br)c1,13593,13593
CCCSc1nc2sc3CCCCc3c2c(=O)n1-c1cccc(C)c1,13595,13595
CC(C)C1Cc2c(CO1)sc1nc(S)n(C3CCCCC3)c(=O)c21,13597,13597
CC1(C)Cc2c(CO1)sc1nc(S)n(-c3cccc(Br)c3)c(=O)c21,13599,13599
CC(C)Sc1nc2sc3CCCCc3c2c(=O)n1-c1cccc(C)c1,13601,13601
CCCCSc1nc2sc3CCCCc3c2c(=O)n1-c1cccc(C)c1,13603,13603
Nc1nc(SCc2ccc(Br)cc2)nc2sc3CCCCc3c12,13605,13605
CCCN1CCc2c(C1)sc1nc(SCC(=O)OCC)nc(N)c21,13607,13607
CCOC(=O)c1c(NC(C)=O)sc2CN(CCc12)C(C)C,13609,13609
CCOC(=O)c1c(NC(=O)C=CC(O)=O)sc2CC(CCc12)C(C)(C)C,13611,13611
CCCCCSc1nc2sc3CCCCc3c2c(=O)n1-c1cccc(C)c1,13613,13613
CC(C)CCSc1nc2sc3CCCCc3c2c(=O)n1-c1cccc(C)c1,13615,13615
CC\C(C)=N/Nc1nc2sc3COC(C)(C)Cc3c2c(=O)n1-c1ccc(C)cc1,13617,13617
CSc1nnc2n(-c3ccccc3)c(=O)c3c(C)c(C)sc3n12,13619,13619
CCCCCSc1nc2sc(C)c(C)c2c(=O)n1-c1ccccc1,13621,13621
CCOC(=O)C(\C)=N\Nc1nc2sc3COC(C)(C)Cc3c2c(=O)n1-c1ccccc1,13623,13623
CC(C)c1ccc(C=NNc2nc3sc4COC(C)(C)Cc4c3c(=O)n2-c2ccccc2)cc1,13625,13625
CC(=NNc1nc2sc3COC(C)(C)Cc3c2c(=O)[nH]1)c1ccccc1,13627,13627
CC1(C)Cc2c(CO1)sc(NC(=S)Nc1ccccc1)c2C#N,13629,13629
CC1(C)Cc2c(CO1)sc1nc3[nH]nnn3c(=O)c21,13631,13631
